Community Name,Street Address,City,State,Zip,Phone,Administrator,Owner Company,Owner Street Address,Owner City,Owner State,Owner Zip,Owner Phone,Facility License Number,Status,Number of Beds,Date of Last Survey,Date of Original Licensure,Date of Expiration,Disciplinary Actions
SUNSET GARDENS,3683 HIGHWAY 421 SOUTH,Mountain,"City,",TN,Wendy Henley,423-291-5755,SUNSET GARDENS,3683 Highway 421 South,Mountain,"City,",TN,423-291-5755,00000497,Licensed,0030,09/24/2018,10/08/2018,10/07/2020,No Disciplinary Actions
"SWEETWATER LIVING, LLC",245 BUTLER DRIVE,Sweetwater,TN,37874,Kimberly Delores Chambers,423-337-9742,"SWEETWATER LIVING, LLC",609 CATAWBA AVENUE,Clinton,TN,37716,423-339-9742,00000291,Licensed,0010,07/17/2019,07/01/2007,05/06/2020,No Disciplinary Actions
Sycamore Place Alzheimer's Special Care Center,8722 WINCHESTER ROAD,Memphis,TN,38125,Kara Sanders,901-309-4009,"Memphis Care Group, LLC",5101 NE 82nd Avenue Suite 200,Vancouver,WA,98662,360-254-9442,00000474,Licensed,0066,07/19/2018,07/24/2018,07/23/2020,No Disciplinary Actions
SYCAMORE SPRINGS SENIOR LIVING COMMUNITY,1504 WEST ELK AVENUE,Elizabethton,TN,37643,Rhonda Mitchell,423-518-1077,Ocoee Sycamore Retirement Center LLC,3555 KEITH STREET NW SUITE 101,Cleveland,TN,37312,423-618-1488,00000398,Licensed,0060,08/20/2018,06/02/2015,06/01/2020,No Disciplinary Actions
SYCAMORE TRACE,1098 BRADFORD WAY,Kingston,TN,37763,Patricia (Patti) Bullen,865-376-9848,AMERICAN EAGLE KINGSTON LLC,3819 HAWK CREST ROAD,Ann,"Arbor,",MI,734-418-9027,00000152,Licensed,0051,05/31/2018,04/16/1999,04/29/2020,No Disciplinary Actions
The Arbors at Dogwood Pointe,2080 CRAIG DRIVE,Milan,TN,38358,Jayme Deanise Duncan,731-723-7570,"MILAN RESIDENTIAL, LLC",2080 CRAIG DRIVE,Milan,TN,38358,731-723-7570,00000039,Licensed,0042,01/08/2019,07/15/1998,04/29/2020,No Disciplinary Actions
THE ARBORS AT THE ETHERIDGE HOUSE,1400 SOUTH HOME STREET,Union,"City,",TN,Pamela Michelle Johnston,731-885-6992,RH MONTGOMERY PROPERTIES INC,214 NORTH SCOTT,Sikeston,MO,63801,573-471-1113,00000426,Licensed,0032,02/06/2019,10/30/2014,10/29/2020,No Disciplinary Actions
THE BRIDGE ASSISTED LIVING AT LIFE CARE CENTER OF COLUMBIA,851 W. JAMES CAMPBELL BOULEVARD,Columbia,TN,38401-4648,Brian Andrew Oakley,931-381-6265,"COLUMBIA ALF OPERATIONS, LLC",3570 KEITH STREET NW,Cleveland,TN,37312,423-473-5867,00000165,Licensed,0074,10/31/2018,01/08/1999,11/01/2019,No Disciplinary Actions
THE BRIDGE ASSISTED LIVING AT LIFE CARE CENTER OF SPARTA,508 MOSE DRIVE,Sparta,TN,38583,Latessa Eva Marie Morris,931-738-9430,"SPARTA MEDICAL INVESTORS, L.P.","3570 KEITH STREET, NW",Cleveland,TN,37312,423-473-5867,00000208,Licensed,0060,07/16/2019,08/21/2000,05/21/2020,No Disciplinary Actions
THE BRIDGE AT HICKORY WOODS,4220 MURFREESBORO PIKE,Antioch,TN,37013,Sarah Elizabeth Heatwole,615-501-0270,"HIGHLAND PARK ALF OPERATIONS, LLC",3570 KEITH STREET NW,Cleveland,TN,37312,423-473-5867,00000360,Licensed,0143,12/18/2018,10/17/2014,10/16/2020,1 Disciplinary Action(s)
THE BRIDGE AT OOLTEWAH,5901 SNOW HILL ROAD,Ooltewah,TN,37363,Jill Elizabeth Day,423-760-8540,"OOLTEWAH ALF INVESTORS, LLC",3570 KEITH STREET NW,Cleveland,TN,37312,423-473-5867,00000381,Licensed,0108,01/24/2019,07/31/2014,07/31/2020,No Disciplinary Actions
THE BRIDGE AT RHEA COUNTY,10055 RHEA COUNTY HIGHWAY,Dayton,TN,37321,Melissa Wood,423-847-1850,"DAYTON MEDICAL INVESTORS, LLC",3570 KEITH STREET NW,Cleveland,TN,37312,423-473-5867,00000378,Licensed,0040,05/16/2018,02/26/2013,02/26/2020,No Disciplinary Actions
THE COURTYARDS SENIOR LIVING BRIARCLIFF,300 BRIARCLIFF AVENUE BLDG. #1,Oak,"Ridge,",TN,Carol Guillemet,865-481-6009,"CONTINUUM COURTYARDS, LLC",PO BOX 50518 SUITE 211,Knoxville,TN,37950-1518,954-415-2546,00000346,Licensed,0050,10/24/2018,01/28/2011,01/27/2020,No Disciplinary Actions
THE COURTYARDS SENIOR LIVING-JOHNSON CITY,2111 E. LAKEVIEW DRIVE,Johnson,"City,",TN,Carla Denise Dunn,423-268-2224,CONTINUUM COURTYARDS LLC,P. O. Box 50518,Knoxville,TN,37950-1518,954-415-2546,00000376,Licensed,0083,03/13/2019,05/22/2013,05/22/2020,No Disciplinary Actions
The Courtyards Senior Living-Knoxville,1029 W. Parkway Avenue,Knoxville,TN,37912,James Ryan Wolard,865-281-9295,Continuum Courtyards LLC,PO BOX 50518,Knoxville,TN,37950-1518,954-415-2546,00000445,Licensed,0032,01/31/2018,02/08/2016,02/07/2020,No Disciplinary Actions
The Courtyards Senior Living-Knoxville 3,801 E. INSKIP DRIVE,Knoxville,TN,37912,James Ryan Wolard,865-357-1660,"CONTINUUM COURTYARDS, LLC",P. O. Box 50518,Knoxville,TN,37950,954-415-2546,00000377,Licensed,0057,08/22/2018,05/03/2013,05/03/2020,No Disciplinary Actions
THE ETHERIDGE HOUSE,701 SHERRILL,Union,"City,",TN,Pamela Michelle Johnston,731-885-6992,"RH MONTGOMERY PROPERTIES, INC",214 N. SCOTT,Sikeston,MO,63801,573-471-1113,00000020,Licensed,0046,04/15/2019,07/01/1998,07/02/2020,No Disciplinary Actions
THE GARDENS AT PROVIDENCE PLACE,1016 CHARLIE DANIELS PARKWAY,Mount,"Juliet,",TN,Marquita Lynn McCarty,615-758-9300,"DENISE SENIOR LIVING, LLC",1016 Charlie Daniels Parkway,Mount,"Juliet,",TN,615-758-9300,00000285,Licensed,0033,02/06/2019,03/13/2008,06/13/2020,No Disciplinary Actions
THE GLENMARY AT EVERGREEN,1550 N. PARKWAY,Memphis,TN,38112,Bryan Ikerd,901-726-4881,"VERITAS INCARE, LLC",6858 SWINNEA 1A RUTLAND PLACE,Southaven,MS,38671,662-510-5544,00000314,Licensed,0054,07/03/2019,08/14/2009,06/09/2020,1 Disciplinary Action(s)
THE HEALTH CENTER AT RICHLAND PLACE,504 ELMINGTON AVENUE,Nashville,TN,37205,Hunter Blake Harris,615-292-4900,"RICHLAND PLACE, INC",504 ELMINGTON AVENUE,Nashville,TN,37205,615-292-4900,00000161,Licensed,0030,10/16/2018,11/04/1998,05/28/2020,No Disciplinary Actions
THE HEARTH AT FRANKLIN,1035 FULTON GREER LANE,Franklin,TN,37064-2012,Daniel Phillips,615-591-3003,"SHP V Franklin, LLC",7 Giralda Farms,Madison,NJ,07940,973-734-1345,00000384,Licensed,0149,03/05/2019,11/07/2014,11/06/2019,No Disciplinary Actions
THE LANTERN ALZHEIMER'S CENTER AT MORNING POINTE,9300 MESSINGER LANE,Ooltewah,TN,37363,Larry Griffin,423-396-4700,"COLLEGEDALE ASSISTED LIVING CENTER, LLC",PO BOX 249 8325 HIGHWAY 60,Georgetown,TN,37336,423-238-5330,00000286,Licensed,0042,06/27/2018,12/01/2006,04/12/2020,No Disciplinary Actions
THE LANTERN AT MORNING POINTE ALZHEIMER'S CENTER,155 MORNING POINTE DRIVE,Lenoir,"City,",TN,Lisa Harvey,865-271-9966,"LOUDON ALZHEIMER'S INVESTORS, LLC",PO BOX 813 6020 ARBURY WAY,Ooltewah,TN,37363,423-238-5330,00000362,Licensed,0049,03/15/2017,05/07/2012,05/07/2020,No Disciplinary Actions
THE LANTERN AT MORNING POINTE OF FRANKLIN,1015 GENERATIONS WAY,Franklin,TN,37064,Bradley Hamilton,615-261-3231,FRANKLIN TN ALZHEIMER'S INVESTORS LLC,6020 ARBURY WAY PO BOX 813,Ooltewah,TN,37363,423-238-5330,00000502,Licensed,0052,04/17/2019,07/09/2018,07/08/2020,No Disciplinary Actions
THE LODGE AT NATCHEZ TRACE,8207 HIGHWAY 100,Nashville,TN,37221,Matthew Ray File,615-646-3334,HSMTN/THE LODGE OPERATING COMPANY,8207 HIGHWAY 100,Nashville,TN,37221,615-646-3334,00000367,Licensed,0122,07/10/2019,01/10/2014,01/10/2020,No Disciplinary Actions
THE LODGE AT WOOD VILLAGE,524 OLD HIGHWAY 68,Sweetwater,TN,37874,SHEILA STEPHENS,423-351-1050,"WOOD PRESBYTERIAN HOME, INC",520 OLD HIGHWAY 68,Sweetwater,TN,37874,423-351-1050,00000159,Licensed,0036,07/19/2016,06/10/1999,04/09/2020,No Disciplinary Actions
THE MARISTONE OF FRANKLIN,347 RIVERSIDE DRIVE,Franklin,TN,37064,John Michael Leebron,615-591-7676,"347 RIVERSIDE SENIOR CARE, LLC",1000 Legion Place SUITE 1600,Orlando,FL,32801,407-999-2400,00000307,Licensed,0072,06/12/2019,08/31/2010,08/27/2020,No Disciplinary Actions
"THE MEADOWS AT HALLTOWN, INC",711 HALLTOWN ROAD,Portland,TN,37148,Danette Wilson,615-323-9425,"The Meadows at Halltown, Inc",711 HALLTOWN ROAD,Portland,TN,37148,615-323-9425,00000372,Licensed,0021,07/16/2019,07/11/2012,07/11/2020,No Disciplinary Actions
THE NEIGHBORHOOD AT TELLICO VILLAGE,100 CHATUGA DRIVE W,Loudon,TN,37774,Angela Smith,865-408-0211,SNH TELLICO TENANT LLC,TWO NEWTON PLACE 255 WASHINGTON STREET,Newton,MA,02458,617-796-8350,00000216,Licensed,0112,11/14/2017,05/16/2003,05/20/2020,No Disciplinary Actions
THE PAVILION ASSISTED LIVING,1409 MEDICAL CENTER DRIVE,Lebanon,TN,37087,Joseph Gray Njezic,615-444-5556,"THE PAVILION ASSISTED LIVING, LLC",1409 Medical Center Drive,Lebanon,TN,37087,615-444-5556,00000480,Licensed,0074,08/14/2019,09/01/2017,08/31/2020,No Disciplinary Actions
The Pinnacle on Schaeffer,10520 Waterville Lane,Knoxville,TN,37923,Beth Anne Watts,865-444-1451,"Altillo, LLC",139 Rose Road,Kingston,TN,37763,865-388-0001,00000475,Licensed,0074,01/17/2019,02/05/2018,02/04/2020,No Disciplinary Actions
THE POINTE AT KIRBY GATE,6480 QUINCE ROAD,Memphis,TN,38119,Tammy Sue Deniro,901-753-3449,LSREF GOLDEN OPS 26 (TN) LLC,3500 Lenox Road NE SUITE 510,Atlanta,GA,30326,770-754-9660,00000131,Licensed,0058,03/18/2019,07/01/1999,01/12/2020,No Disciplinary Actions
The Pointe at Lifespring,4371 Lifespring Lane,Knoxville,TN,37918,Helen Porter,865-687-5353,"Meridian Knoxville OE, L.P.",3811 Turtle Creek Blvd. Suite 1050,Dallas,TX,75219,214-651-4000,00000451,Licensed,0094,09/18/2018,04/28/2017,04/27/2020,No Disciplinary Actions
THE RESERVE AT SPRING HILL,2000 RESERVE BOULEVARD,Spring,"Hill,",TN,Guy Winston Crosson,931-486-4200,"EMERALD SPRING HILL, INC",PO BOX 159098,Nashville,TN,37215,615-647-9004,00000456,Licensed,0030,05/01/2019,04/25/2018,04/24/2020,No Disciplinary Actions
The Rutherford Assisted Living,1658 LACASSAS PIKE,Murfreesboro,TN,37130,Rebecca Logue Himes,615-217-6756,"Inspirit Rutherford AL Operator, LLC",8000 Westpark Drive Suite 495,Mc,"Lean,",VA,703-815-5800,00000213,Licensed,0074,04/17/2019,08/31/2001,02/25/2020,No Disciplinary Actions
The Rutherford Memory Care,2045 GOLD VALLEY DRIVE,Murfreesboro,TN,37130,Rebecca Logue Himes,615-217-6756,INSPIRIT RUTHERFORD MC OPERATOR LLC C/O,8000 WESTPARK DRIVE SUITE 495,Mc,"Lean,",VA,703-815-5800,00000274,Licensed,0032,04/17/2019,01/04/2007,05/05/2020,No Disciplinary Actions
THE SUMMIT OF LAWRENCEBURG,186 PROSSER ROAD,Lawrenceburg,TN,38464,Patti W. Odom,931-762-3524,"GOODWORKS UNLIMITED, LLC",2202 JEFFERSON COURT,Franklin,TN,37064,615-790-7041,00000167,Licensed,0045,09/12/2018,02/17/1999,05/29/2020,No Disciplinary Actions
THE TERRACE AT MOUNTAIN CREEK,1005 MOUNTAIN CREEK ROAD,Chattanooga,TN,37405,Steve Vogel,423-874-0200,"CHATTANOOGA SENIOR HOUSING I OPCO, LLC",189 S. ORANGE AVENUE SUITE 1700,Orlando,FL,32801,407-255-2162,00000257,Licensed,0120,04/10/2019,07/22/2004,09/03/2020,3 Disciplinary Action(s)
THE VILLAGE AT ALLANDALE,100 STRICKLAND COURT,Kingsport,TN,37660,Alison Colobro,423-256-0002,"KINGSPORT SENIOR HOUSE, LLC",600 STRICKLAND COURT,Kingsport,TN,37660,423-256-0002,00000239,Licensed,0078,09/04/2018,05/21/2003,05/30/2020,No Disciplinary Actions
THE VILLAGE AT GERMANTOWN INC,8020 WALKING HORSE CIRCLE,Germantown,TN,38138,Rebecca D. DeRousse,901-752-2580,"VILLAGE AT GERMANTOWN, INC",7930 WALKING HORSE CIRCLE,Germantown,TN,38138,901-752-2500,00000253,Licensed,0060,07/02/2019,05/25/2006,06/23/2020,No Disciplinary Actions
The Village at Primacy Place,6015 PRIMACY PARKWAY,Memphis,TN,38119,Roneshia Latrice Washington,901-683-1800,S-H OPCO MEMPHIS LLC,6015 PRIMACY PARKWAY,Memphis,TN,38119,901-683-1800,00000022,Licensed,0070,08/14/2018,07/01/1998,08/05/2020,No Disciplinary Actions
"THE VILLAGE MANOR, LLC",101 TIGER BOULEVARD,Lewisburg,TN,37091,DARLENE HILL,931-270-0273,"THE VILLAGE MANOR, LLC",101 TIGER BLVD,Lewisburg,TN,37091,931-270-0273,00000145,Licensed,0058,12/10/2018,07/01/1999,09/22/2020,No Disciplinary Actions
THE VILLAGE OF MURFREESBORO,2550 WILLOWOAK TRAIL,Murfreesboro,TN,37129,Jenene P. Jones,615-848-3030,"MURFREESBORO SENIOR LIVING, LLC",2202 JEFFERSON COURT,Franklin,TN,37064,615-790-7041,00000498,Licensed,0022,03/09/2018,04/17/2018,04/16/2020,No Disciplinary Actions
THE WATERFORD IN HERMITAGE,3778 CENTRAL PIKE,Hermitage,TN,37076,Tamara Simpson Griffin,615-928-1400,Star Group of Hermitage LLC,3778 Central Pike,Hermitage,TN,37076,615-928-1400,00000463,Licensed,0099,09/26/2018,02/21/2017,02/20/2020,No Disciplinary Actions
THE WATERFORD IN SMYRNA,10540 CEDAR GROVE ROAD,Smyrna,TN,37167,Angela Davison,615-223-0005,EMERALD GROUP LLC,10540 Cedar Grove Road,Smyrna,TN,37167,615-223-0005,00000296,Licensed,0092,08/07/2019,12/11/2009,06/03/2020,No Disciplinary Actions
THE WEBB HOUSE RETIREMENT CENTER OF MCMINNVILLE INC,3877 MANCHESTER HIGHWAY,Mc,"Minnville,",TN,Rickey Lee Webb,931-668-9322,WEBB HOUSE RETIREMENT CENTER of McMinnvi,3877 MANCHESTER HIGHWAY,Mcminnville,TN,37110,931-668-9322,00000368,Licensed,0060,10/03/2018,10/30/2013,10/30/2019,No Disciplinary Actions
"THE WEBB HOUSE RETIREMENT CENTER, INC",115 JENNINGS LANE,Smithville,TN,37166,LORA J. WEBB,615-597-8888,"WEBB HOUSE RETIREMENT CENTER, INC",115 JENNINGS LANE,Smithville,TN,37166,615-597-8888,00000035,Licensed,0053,02/21/2019,07/15/1998,04/16/2020,No Disciplinary Actions
THE WHITE HOUSE ASSISTED LIVING,405 RED BOILING SPRINGS ROAD,Lafayette,TN,37083,LINDA AUSTIN,615-666-5566,"TRI-AGE ADVENTURES, INC",405 TIMES AVENUE,Lafayette,TN,37083,615-666-3170,00000023,Licensed,0030,12/05/2018,07/01/1998,04/14/2020,No Disciplinary Actions
Towne Square Care Assisted Living of Puryear,220 COLLEGE STREET,Puryear,TN,38251,Zachary Bell,731-247-3205,"TOWNE SQUARE CARE MGT. OF PURYEAR, INC",411 WALNUT STREET #10380,Green,Cv,"Spgs,",865-300-3232,00000357,Licensed,0010,01/14/2019,03/27/2013,03/27/2020,No Disciplinary Actions
TRADITIONS OF SMYRNA,800 Great Circle,Smyrna,TN,37167,John Tyler Keelon,615-925-3373,"TRADITIONS OF SMYRNA OPCO, LLC",322 N. FRONT STREET,Murfreesboro,TN,37130,931-473-1818,00000494,Licensed,0110,05/01/2019,05/02/2019,05/01/2020,No Disciplinary Actions
TRADITIONS OF SPRING HILL,3056 MILES JOHNSON PARKWAY,Spring,"Hill,",TN,Jane Roberts,931-451-0009,"SH OpCo, LLC",1850 MT. DIABLO BLVD SUITE 410,Walnut,"Creek,",CA,925-256-9448,00000455,Licensed,0097,12/05/2018,12/15/2017,12/14/2019,No Disciplinary Actions
TRINITY HILLS OF KNOXVILLE,4611 Asheville Highway,Knoxville,TN,37914,Caroline Brooks Wilder,865-329-3292,CHG SENIOR LIVING REAL ESTATE OF KNOXVIL,2200 ROSS AVENUE SUITE 5400,Dallas,TX,75201,468-621-6700,00000284,Licensed,0109,05/29/2018,05/02/2007,04/18/2020,No Disciplinary Actions
"TROUSDALE SENIOR LIVING CENTER, LLC",263 W. MCMURRY BLVD,Hartsville,TN,37074,Charity Lynn West,615-374-9771,"TROUSDALE SENIOR LIVING CENTER, LLC",263 MCMURRY BLVD W,Hartsville,TN,37074,615-374-9771,00000276,Licensed,0036,10/10/2018,01/11/2007,04/24/2020,No Disciplinary Actions
VALLEY VIEW ASSISTED LIVING,101 North Maple St,Whitwell,TN,37397,Darlene Austin Crider,423-658-0100,"WHITWELL SENIOR LIVING, LLC",101 North Maple St,Whitwell,TN,37397,423-658-0100,00000219,Licensed,0080,02/06/2019,09/19/2002,06/23/2020,No Disciplinary Actions
Vantage Pointe Village at Ashland City,2035 Vantage Pointe Road,Ashland,"City,",TN,John Russell,615-246-0000,"ASHLAND HEIGHTS, LP",2035 VANTAGE POINTE ROAD,Ashland,"City,",TN,615-246-0000,00000380,Licensed,0110,06/17/2019,06/05/2015,06/04/2020,No Disciplinary Actions
VICTORIAN SQUARE ASSISTED LIVING,241 S. CHAMBERLAIN AVENUE,Rockwood,TN,37854,Bridget Wright,865-354-1133,"VICTORIAN SQUARE, LLC",12933 W US HIGHWAY 42,Prospect,KY,40059,502-228-8131,00000147,Licensed,0084,09/04/2018,02/17/1999,04/26/2020,1 Disciplinary Action(s)
WALKING HORSE MEADOWS,207 UFFELMAN DRIVE,Clarksville,TN,37043,Tony Whitehead,931-648-8007,"MORNINGSIDE OF BELMONT, LLC",400 CENTRE STREET,Newton,MA,02458,931-648-8007,00000048,Licensed,0099,12/19/2018,07/29/1998,04/23/2020,No Disciplinary Actions
Wellington Manor,375 HEDRICK DRIVE,Newport,TN,37821,Kathy Hobbs,423-613-4585,"Wellington Manor, LLC",375 HENRICK DRIVE,Newport,TN,37821,423-613-4585,00000153,Licensed,0060,03/07/2019,01/11/2000,05/05/2020,No Disciplinary Actions
WELLINGTON PLACE,209 WARD CIRCLE,Brentwood,TN,37027,Ann Kaushal,615-377-1221,WELLINGTON PLACE INC.,209 Ward Circle,Brentwood,TN,37027,615-293-5624,00000371,Licensed,0047,10/02/2018,05/02/2012,05/02/2020,No Disciplinary Actions
WELLMONT MADISON HOUSE,2000 GREENWAY STREET,Kingsport,TN,37660,Kevin Patrick Helms,423-224-6900,WELLMONT HEALTH SYSTEM,1905 AMERICAN WAY,Kingsport,TN,37660,423-230-8200,00000155,Licensed,0029,09/29/2018,01/20/1999,07/27/2020,No Disciplinary Actions
WHITEHAVEN ASSISTED CARE LIVING FACILITY,403 SOUTH CHURCH STREET,Adams,TN,37010,Velinda GAIL TURNER,615-696-2461,HOWARD & GAIL TURNER,403 SOUTH CHURCH STREET,Adams,TN,37010,615-696-2461,00000160,Licensed,0039,02/27/2019,11/19/1998,06/18/2020,No Disciplinary Actions
WILLIAMSBURG VILLAS,3020 HEATHERTON WAY,Knoxville,TN,37920,Jennifer Ricker,865-573-0100,"MORNINGSIDE OF KNOXVILLE, LLC",400 CENTRE STREET,Newton,MA,02458,617-796-8387,00000089,Licensed,0098,03/13/2019,09/21/1998,06/09/2020,No Disciplinary Actions
WILLOW SPRINGS ASSISTED LIVING AND ALZHEIMERS CARE BY AMERICARE,1040 CAMPBELL STATION PARKWAY,Spring,"Hill,",TN,Bethany Ann Shively,615-302-1310,"SPRING HILL RESIDENTIAL, LLC",1040 CAMPBELL STATION PKWY,Spring,"Hill,",TN,615-302-1310,00000305,Licensed,0071,06/26/2019,11/12/2009,04/23/2020,No Disciplinary Actions
WINDSOR GARDENS ASSISTED LIVING CENTER,5611 CENTRAL AVENUE PIKE,Knoxville,TN,37912,BRIAN BARTLEY,865-688-4840,"WINDSOR GARDENS, LLC",5611 CENTRAL AVENUE PIKE,Knoxville,TN,37912,865-688-4840,00000156,Licensed,0070,09/07/2017,01/28/2000,08/20/2020,No Disciplinary Actions
Kinser Cottage,300 Urbana Road,Limestone,TN,37681,Ron McCready,423-257-3644,Crumley House Brain Injury Rehabilitatio,300 Urbana Road,Limestone,TN,37681,423-257-3644,00000008,Licensed,0005,06/04/2019,03/14/2018,03/13/2020,No Disciplinary Actions
QUIET OAKS ADULT CARE HOME,3872 BRAYTON MOUNTAIN ROAD,Graysville,TN,37338,Richard & Laura Morrison,423-775-7658,"QOACH, LLC",3872 BRAYTON MOUNTAIN ROAD,Graysville,TN,37338,423-775-7658,00000006,Licensed,0005,10/31/2017,07/02/2012,07/02/2020,No Disciplinary Actions
THE CRUMLEY HOUSE ADULT CARE HOME,298 URBANA ROAD,Limestone,TN,37681,Natasha Miller,423-257-3644,CRUMLEY HOUSE HEAD INJURY REHABILITATION,300 URBANA ROAD,Limestone,TN,37681,423-257-3644,00000001,Licensed,0005,10/11/2017,12/19/2011,12/19/2019,No Disciplinary Actions
ALEXIAN BROTHERS VALLEY RESIDENCE,1164 MOUNTAIN CREEK ROAD,Chattanooga,TN,37405,Brittany Hope Austin,423-875-6110,"ALEXIAN VILLAGE OF TENNESSEE, INC.",437 ALEXIAN WAY,Signal,"Mountain,",TN,423-886-0100,00000330,Licensed,0042,10/17/2018,06/30/2018,06/11/1998,No Disciplinary Actions
ALTERNATIVE CARE INC,525 GALESBURG CT,Nashville,TN,37217,EBERECHI ONYEJIAKA,615-569-6811,EBERECHI ONYEJIAKA,525 GALESBURG COURT,Nashville,TN,37217,615-569-6811,00000507,Licensed,0006,04/10/2019,03/15/2007,06/30/2020,No Disciplinary Actions
ASHLEY'S TOTAL CARE HOME,1741 HOLMAN AVENUE,Memphis,TN,38114,Sarah Carver,901-726-1127,"Ashley's Total Care, LLC",1741 Holman Avenue,Memphis,TN,38114-1805,901-726-1127,00000608,Licensed,0006,05/29/2019,09/15/2014,09/14/2020,No Disciplinary Actions
"AUTUMN RIDGE MANOR, LLC",1815 OLD COUNTY HOUSE ROAD,White,"Bluff,",TN,Steven E Farless,615-789-3900,JOE & MELISSA MOORE,131 NORTH TRIGG AVENUE,Gallatin,TN,37066,615-975-2977,00000053,On Probation,0011,01/19/2018,07/01/1992,06/14/2020,1 Disciplinary Action(s)
BRADSHAW PERSONAL CARE HOME,1361 MALLORY,Memphis,TN,38106,EARNESTINE BRADSHAW,901-948-5547,EARNESTINE BRADSHAW,1361 E. MALLORY,Memphis,TN,38106,901-438-8494,00000435,Licensed,0008,12/17/2018,02/08/2002,06/16/2020,No Disciplinary Actions
BROOKS FAMILY CARE,926 JACKSON STREET,Nashville,TN,37208,LISA B. BROOKS BROWN,615-259-2938,,,,,,,00000027,Licensed,0008,06/18/2019,08/22/1988,06/10/2020,No Disciplinary Actions
CANDLELITE ONE,1042 MORTON STREET,Shelbyville,TN,37160,MILDRED A THOMPSON,931-685-5092,CANDLELITE ONE,1042 MORTON STREET,Shelbyville,TN,37160,931-685-5092,00000519,Licensed,0006,10/31/2018,11/09/2005,06/24/2020,No Disciplinary Actions
CANTERBURY PLACE,900 HIGHWAY 51 BY-PASS N,Dyersburg,TN,38024,KAYE TABOR,731-287-1319,"Wesley-Asbury, Inc. (Canterbury Place)",1615 Appling Road,Cordova,TN,38016,901-380-4900,00000389,Licensed,0036,06/05/2019,05/15/1998,06/04/2020,No Disciplinary Actions
CARMEN'S HOME CARE,5322 ADNEY GAP COVE,Memphis,TN,38134,CARMEN THOMAS,901-490-5740,CARMEN A. THOMAS,6917 LAGRANGE GROVE ROAD,Cordova,TN,38018,901-490-5740,00000551,Licensed,0006,04/17/2019,11/18/2008,06/22/2020,No Disciplinary Actions
CECIL RESIDENTIAL HOME,2020 CECIL AVE.,Knoxville,TN,37917,Elena Lenuta Leuciuc,865-546-3960,WESLEY VASILE TINIUC,9712 CLEARWATER DRIVE,Knoxville,TN,37923,865-455-8333,00000098,Licensed,0006,06/05/2019,07/01/1992,06/14/2020,No Disciplinary Actions
"COVENANT MANOR, INC.",109 BRIGHT AVENUE,Fayetteville,TN,37334,NANCY E BULT,931-433-3436,"COVENANT MANOR, INC.",109 BRIGHT AVENUE,Fayetteville,TN,37334,931-433-3436,00000278,Licensed,0021,12/18/2018,01/02/1996,05/29/2020,No Disciplinary Actions
DARBY HOUSE LLC,249 E BROADWAY,Jefferson,"City,",TN,Judy L. Greene,865-475-7975,DARBY HOUSE LLC,249 EAST BROADWAY,Jefferson,"City,",TN,865-475-7975,00000095,Licensed,0038,02/06/2019,08/31/1988,05/11/2020,No Disciplinary Actions
DAVIS HOME FOR THE AGED II,4629 KIRKLAND AVE.,Chattanooga,TN,37410,LUBRON W. DAVIS,423-825-5210,DORRIS D. DAVIS,2407 SHADY LANE,Chattanooga,TN,37404,423-697-0733,00000073,Licensed,0014,06/28/2018,07/15/1986,06/02/2020,No Disciplinary Actions
DAVIS HOME FOR THE AGED III,1106 DUNCAN AVE.,Chattanooga,TN,37404,Dorris Davis,423-697-0733,DORRIS D. DAVIS & LUBRON W DAVIS,2407 SHADY LANE,Chattanooga,TN,37404,423-697-0733,00000291,Licensed,0027,02/13/2018,07/23/1996,05/12/2020,No Disciplinary Actions
ELITE ELDERLY CARE,101 DALE AVENUE,Hendersonville,TN,37075,REBECCA SANDU,615-824-7925,CRISTIAN & REBECCA SANDU,107 SHADOWHAVEN WAY,Hendersonville,TN,37075,615-491-8427,00000577,Licensed,0008,06/26/2019,12/14/2010,01/01/2020,No Disciplinary Actions
FAIRFIELD GLADE ASSISTED LIVING,637 WOODGATE DRIVE,Crossville,TN,38558,Maria N. McCaleb,931-456-7793,"FAIRFIELD GLADE AL, LLC",PO BOX 342,Gladeville,TN,37071,615-440-3690,00000023,Licensed,0028,04/17/2018,03/01/1991,06/11/2020,No Disciplinary Actions
FORD ROAD CARE HOME,3047 FORD ROAD,Memphis,TN,38109,CORNELIUS RAND,901-785-9380,"DOBBINS R & L, INC",3047 FORD ROAD,Memphis,TN,38109,901-785-9380,00000461,Licensed,0009,11/07/2018,12/20/2000,06/18/2020,No Disciplinary Actions
FRIENDSHIP HAVEN INC,950 DODSON AVENUE,Chattanooga,TN,37406,David Bwana Machoka,423-475-6163,FRIENDSHIP HAVEN INC,9461 MEMORY LANE,Ooltewah,TN,37363,423-475-6163,00000603,Licensed,0016,03/11/2019,04/16/2014,04/15/2020,No Disciplinary Actions
GOLDEN YEARS RETIREMENT RESORT,301 KEITH DR.,Spring,"City,",TN,Kimberly Fuson,423-365-5001,KIMBERLY D. FUSON,301 KEITH DRIVE,Spring,"City,",TN,423-365-5001,00000238,Licensed,0021,02/06/2018,06/10/1993,02/17/2020,No Disciplinary Actions
